Trade #,Type,Signal,Date/Time,Price JPY,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
1097,Exit Long,Open,,,,,,,,,,,
1097,Entry Long,MACrossLE,2024-07-14 19:10,158.284,,,,,,,,,
1096,Exit Short,MACrossLE,2024-07-14 19:10,158.284,498,0.20,0.04,102.32,0.00,0.56,0.11,0.05,0.01
1096,Entry Short,MACrossSE,2024-07-14 19:03,158.348,498,0.20,0.04,102.32,0.00,0.56,0.11,0.05,0.01
1095,Exit Long,MACrossSE,2024-07-14 19:03,158.348,498,0.01,0.00,102.11,0.00,0.06,0.01,0.02,0.00
1095,Entry Long,MACrossLE,2024-07-14 19:01,158.344,498,0.01,0.00,102.11,0.00,0.06,0.01,0.02,0.00
1094,Exit Short,MACrossLE,2024-07-14 19:01,158.344,498,0.02,0.00,102.10,0.00,0.02,0.00,0,0.00
1094,Entry Short,MACrossSE,2024-07-14 19:01,158.349,498,0.02,0.00,102.10,0.00,0.02,0.00,0,0.00
1093,Exit Long,MACrossSE,2024-07-14 19:01,158.349,498,0.11,0.02,102.09,0.00,0.23,0.05,0.003,0.00
1093,Entry Long,MACrossLE,2024-07-14 18:55,158.313,498,0.11,0.02,102.09,0.00,0.23,0.05,0.003,0.00
1092,Exit Short,MACrossLE,2024-07-14 18:55,158.313,498,-0.003,0.00,101.97,0.00,0,0.00,0.003,0.00
1092,Entry Short,MACrossSE,2024-07-14 18:55,158.312,498,-0.003,0.00,101.97,0.00,0,0.00,0.003,0.00
1091,Exit Long,MACrossSE,2024-07-14 18:55,158.312,499,0.49,0.10,101.98,0.01,0.56,0.11,0,0.00
1091,Entry Long,MACrossLE,2024-07-14 18:30,158.157,499,0.49,0.10,101.98,0.01,0.56,0.11,0,0.00
1090,Exit Short,MACrossLE,2024-07-14 18:30,158.157,499,0.01,0.00,101.49,0.00,0.01,0.00,0,0.00
1090,Entry Short,MACrossSE,2024-07-14 18:30,158.159,499,0.01,0.00,101.49,0.00,0.01,0.00,0,0.00
1089,Exit Long,MACrossSE,2024-07-14 18:30,158.159,499,0.23,0.05,101.48,0.00,0.27,0.05,0,0.00
1089,Entry Long,MACrossLE,2024-07-14 18:15,158.085,499,0.23,0.05,101.48,0.00,0.27,0.05,0,0.00
1088,Exit Short,MACrossLE,2024-07-14 18:15,158.085,499,0.22,0.04,101.25,0.00,0.56,0.11,0,0.00
1088,Entry Short,MACrossSE,2024-07-14 18:08,158.155,499,0.22,0.04,101.25,0.00,0.56,0.11,0,0.00
1087,Exit Long,MACrossSE,2024-07-14 18:08,158.155,502,0.07,0.01,101.02,0.00,0.34,0.07,0.16,0.03
1087,Entry Long,MACrossLE,2024-07-14 17:53,158.133,502,0.07,0.01,101.02,0.00,0.34,0.07,0.16,0.03
1086,Exit Short,MACrossLE,2024-07-14 17:53,158.133,502,0.01,0.00,100.95,0.00,0.09,0.02,0.01,0.00
1086,Entry Short,MACrossSE,2024-07-14 17:48,158.135,502,0.01,0.00,100.95,0.00,0.09,0.02,0.01,0.00
1085,Exit Long,MACrossSE,2024-07-14 17:48,158.135,502,0.01,0.00,100.95,0.00,0.02,0.00,0,0.00
1085,Entry Long,MACrossLE,2024-07-14 17:39,158.132,502,0.01,0.00,100.95,0.00,0.02,0.00,0,0.00
1084,Exit Short,MACrossLE,2024-07-14 17:39,158.132,502,0.01,0.00,100.94,0.00,0.03,0.01,0.02,0.00
1084,Entry Short,MACrossSE,2024-07-14 17:27,158.135,502,0.01,0.00,100.94,0.00,0.03,0.01,0.02,0.00
1083,Exit Long,MACrossSE,2024-07-14 17:27,158.135,502,0.17,0.03,100.93,0.00,0.21,0.04,0.003,0.00
1083,Entry Long,MACrossLE,2024-07-14 17:13,158.081,502,0.17,0.03,100.93,0.00,0.21,0.04,0.003,0.00
1082,Exit Short,MACrossLE,2024-07-14 17:13,158.081,502,-0.01,0.00,100.76,0.00,0.02,0.00,0.04,0.01
1082,Entry Short,MACrossSE,2024-07-14 17:11,158.078,502,-0.01,0.00,100.76,0.00,0.02,0.00,0.04,0.01
1081,Exit Long,MACrossSE,2024-07-14 17:11,158.078,503,0.69,0.14,100.77,0.01,0.74,0.15,0.09,0.02
1081,Entry Long,MACrossLE,2024-07-12 16:55,157.860,503,0.69,0.14,100.77,0.01,0.74,0.15,0.09,0.02
1080,Exit Short,MACrossLE,2024-07-12 16:55,157.860,503,0.07,0.01,100.08,0.00,0.22,0.04,0,0.00
1080,Entry Short,MACrossSE,2024-07-12 16:49,157.883,503,0.07,0.01,100.08,0.00,0.22,0.04,0,0.00
1079,Exit Long,MACrossSE,2024-07-12 16:49,157.883,503,0.01,0.00,100.01,0.00,0.04,0.01,0.02,0.00
1079,Entry Long,MACrossLE,2024-07-12 16:46,157.879,503,0.01,0.00,100.01,0.00,0.04,0.01,0.02,0.00
1078,Exit Short,MACrossLE,2024-07-12 16:46,157.879,503,0.03,0.01,99.99,0.00,0.03,0.01,0,0.00
1078,Entry Short,MACrossSE,2024-07-12 16:46,157.887,503,0.03,0.01,99.99,0.00,0.03,0.01,0,0.00
1077,Exit Long,MACrossSE,2024-07-12 16:46,157.887,503,-0.003,0.00,99.97,0.00,0.08,0.02,0.04,0.01
1077,Entry Long,MACrossLE,2024-07-12 16:44,157.888,503,-0.003,0.00,99.97,0.00,0.08,0.02,0.04,0.01
